product_name,product_quantity,product_reason
Sanskrit Natural Rejuvenator (SAN),216,Inward inventory lot allocation
Sanskrit Pure Aqueous Drops (SAN),398,Initial setup warehouse inventory allocation
Sanskrit Ultimate Seeker Starter Kit (SAN),456,Warehouse inbound allocation transfer
Sanskrit Safe Storage Guide (SAN),350,Bulk counter stock inward entry
Dhyana Vol 1 Grand Edition (DHY),474,Initial Opening stock entry
Dhyana Vol 2 Standard Text (DHY),366,Inward inventory lot allocation
Dhyana Vol 3 Advanced Study (DHY),297,Initial setup warehouse inventory allocation
Dhyana Vol 4 Complete Guide (DHY),394,Warehouse inbound allocation transfer
Dhyana Foundational Basic Text (DHY),274,Bulk counter stock inward entry
Dhyana Classical Commentary (DHY),425,Initial Opening stock entry
Dhyana Practical Workbook Set (DHY),372,Inward inventory lot allocation
Dhyana Authentic Handbook (DHY),402,Initial setup warehouse inventory allocation
Dhyana Wall Charts Set (DHY),420,Warehouse inbound allocation transfer
Dhyana Reference Manual (DHY),477,Bulk counter stock inward entry
Dhyana Premium Natural Essence (DHY),286,Initial Opening stock entry
Dhyana Pure Extract Drops (DHY),427,Inward inventory lot allocation
Dhyana Therapeutic Tablets (DHY),323,Initial setup warehouse inventory allocation
Dhyana Herbal Powder Mix (DHY),495,Warehouse inbound allocation transfer
Dhyana Premium Concentrated Oil (DHY),446,Bulk counter stock inward entry
Dhyana Special Application Lepa (DHY),314,Initial Opening stock entry
Dhyana Natural Rejuvenator (DHY),255,Inward inventory lot allocation
Dhyana Pure Aqueous Drops (DHY),423,Initial setup warehouse inventory allocation
Dhyana Ultimate Seeker Starter Kit (DHY),202,Warehouse inbound allocation transfer
Dhyana Safe Storage Guide (DHY),487,Bulk counter stock inward entry
Spiritual Vol 1 Grand Edition (ART),397,Initial Opening stock entry
Spiritual Vol 2 Standard Text (ART),264,Inward inventory lot allocation
Spiritual Vol 3 Advanced Study (ART),200,Initial setup warehouse inventory allocation
Spiritual Vol 4 Complete Guide (ART),385,Warehouse inbound allocation transfer
Spiritual Foundational Basic Text (ART),389,Bulk counter stock inward entry
Spiritual Classical Commentary (ART),228,Initial Opening stock entry
Spiritual Practical Workbook Set (ART),377,Inward inventory lot allocation
Spiritual Authentic Handbook (ART),297,Initial setup warehouse inventory allocation
Spiritual Wall Charts Set (ART),333,Warehouse inbound allocation transfer
Spiritual Reference Manual (ART),284,Bulk counter stock inward entry
Spiritual Premium Natural Essence (ART),247,Initial Opening stock entry
Spiritual Pure Extract Drops (ART),462,Inward inventory lot allocation
Spiritual Therapeutic Tablets (ART),274,Initial setup warehouse inventory allocation
Spiritual Herbal Powder Mix (ART),245,Warehouse inbound allocation transfer
Spiritual Premium Concentrated Oil (ART),381,Bulk counter stock inward entry
Spiritual Special Application Lepa (ART),228,Initial Opening stock entry
Spiritual Natural Rejuvenator (ART),227,Inward inventory lot allocation
Spiritual Pure Aqueous Drops (ART),498,Initial setup warehouse inventory allocation
Spiritual Ultimate Seeker Starter Kit (ART),236,Warehouse inbound allocation transfer
Spiritual Safe Storage Guide (ART),437,Bulk counter stock inward entry
Puja Vol 1 Grand Edition (PSM),464,Initial Opening stock entry
Puja Vol 2 Standard Text (PSM),355,Inward inventory lot allocation
Puja Vol 3 Advanced Study (PSM),428,Initial setup warehouse inventory allocation
Puja Vol 4 Complete Guide (PSM),441,Warehouse inbound allocation transfer
Puja Foundational Basic Text (PSM),307,Bulk counter stock inward entry
Puja Classical Commentary (PSM),231,Initial Opening stock entry
Puja Practical Workbook Set (PSM),230,Inward inventory lot allocation
Puja Authentic Handbook (PSM),218,Initial setup warehouse inventory allocation
Puja Wall Charts Set (PSM),278,Warehouse inbound allocation transfer
Puja Reference Manual (PSM),481,Bulk counter stock inward entry
Puja Premium Natural Essence (PSM),498,Initial Opening stock entry
Puja Pure Extract Drops (PSM),435,Inward inventory lot allocation
Puja Therapeutic Tablets (PSM),395,Initial setup warehouse inventory allocation
Puja Herbal Powder Mix (PSM),270,Warehouse inbound allocation transfer
Puja Premium Concentrated Oil (PSM),476,Bulk counter stock inward entry
Puja Special Application Lepa (PSM),307,Initial Opening stock entry
Puja Natural Rejuvenator (PSM),343,Inward inventory lot allocation
Puja Pure Aqueous Drops (PSM),211,Initial setup warehouse inventory allocation
Puja Ultimate Seeker Starter Kit (PSM),251,Warehouse inbound allocation transfer
Puja Safe Storage Guide (PSM),249,Bulk counter stock inward entry
Vedic Vol 1 Grand Edition (AST),407,Initial Opening stock entry
Vedic Vol 2 Standard Text (AST),420,Inward inventory lot allocation
Vedic Vol 3 Advanced Study (AST),369,Initial setup warehouse inventory allocation
Vedic Vol 4 Complete Guide (AST),212,Warehouse inbound allocation transfer
Vedic Foundational Basic Text (AST),374,Bulk counter stock inward entry
Vedic Classical Commentary (AST),250,Initial Opening stock entry
Vedic Practical Workbook Set (AST),314,Inward inventory lot allocation
Vedic Authentic Handbook (AST),332,Initial setup warehouse inventory allocation
Vedic Wall Charts Set (AST),385,Warehouse inbound allocation transfer
Vedic Reference Manual (AST),462,Bulk counter stock inward entry
Vedic Premium Natural Essence (AST),331,Initial Opening stock entry
Vedic Pure Extract Drops (AST),490,Inward inventory lot allocation
Vedic Therapeutic Tablets (AST),464,Initial setup warehouse inventory allocation
Vedic Herbal Powder Mix (AST),432,Warehouse inbound allocation transfer
Vedic Premium Concentrated Oil (AST),389,Bulk counter stock inward entry
Vedic Special Application Lepa (AST),476,Initial Opening stock entry
Vedic Natural Rejuvenator (AST),357,Inward inventory lot allocation
Vedic Pure Aqueous Drops (AST),402,Initial setup warehouse inventory allocation
Vedic Ultimate Seeker Starter Kit (AST),498,Warehouse inbound allocation transfer
Vedic Safe Storage Guide (AST),264,Bulk counter stock inward entry
Sanatana Vol 1 Grand Edition (ITI),399,Initial Opening stock entry
Sanatana Vol 2 Standard Text (ITI),484,Inward inventory lot allocation
Sanatana Vol 3 Advanced Study (ITI),216,Initial setup warehouse inventory allocation
Sanatana Vol 4 Complete Guide (ITI),299,Warehouse inbound allocation transfer
Sanatana Foundational Basic Text (ITI),471,Bulk counter stock inward entry
Sanatana Classical Commentary (ITI),219,Initial Opening stock entry
Sanatana Practical Workbook Set (ITI),290,Inward inventory lot allocation
Sanatana Authentic Handbook (ITI),266,Initial setup warehouse inventory allocation
Sanatana Wall Charts Set (ITI),359,Warehouse inbound allocation transfer
Sanatana Reference Manual (ITI),322,Bulk counter stock inward entry
Sanatana Premium Natural Essence (ITI),334,Initial Opening stock entry
Sanatana Pure Extract Drops (ITI),498,Inward inventory lot allocation
Sanatana Therapeutic Tablets (ITI),255,Initial setup warehouse inventory allocation
Sanatana Herbal Powder Mix (ITI),494,Warehouse inbound allocation transfer
Sanatana Premium Concentrated Oil (ITI),311,Bulk counter stock inward entry
Sanatana Special Application Lepa (ITI),497,Initial Opening stock entry
Sanatana Natural Rejuvenator (ITI),280,Inward inventory lot allocation
Sanatana Pure Aqueous Drops (ITI),241,Initial setup warehouse inventory allocation
Sanatana Ultimate Seeker Starter Kit (ITI),386,Warehouse inbound allocation transfer
Sanatana Safe Storage Guide (ITI),399,Bulk counter stock inward entry
